"1","56","88.3","1.71","180","157","60","1.69","1313","Yoga","12.6","3.5","4","3","30.2","18","1774.03","470","58"
"2","46","74.9","1.53","179","151","66","1.3","883","HIIT","33.9","2.1","4","2","32","19","1415.01","818","45"
"3","32","68.1","1.66","167","122","54","1.11","677","Cardio","33.4","2.3","4","2","24.71","6","1453.02","556","38"
"4","25","53.2","1.7","190","164","56","0.59","532","Strength","28.8","2.1","3","1","18.41","20","1474.99","165","15"
"5","38","46.1","1.79","188","158","68","0.64","556","Strength","29.2","2.8","3","1","14.39","21","1349.26","155","16"
"6","56","58","1.68","168","156","74","1.59","1116","HIIT","15.5","2.7","5","3","20.55","17","1261.9","775","68"
"7","36","70.3","1.72","174","169","73","1.49","1385","Cardio","21.3","2.3","3","2","23.76","5","1651.23","770","38"
"8","40","69.7","1.51","189","141","64","1.27","895","Cardio","30.6","1.9","3","2","30.57","19","1386.71","651","33"
"9","28","121.7","1.94","185","127","52","1.03","719","Strength","28.9","2.6","4","2","32.34","3","2490.83","658","35"
"10","28","101.8","1.84","169","136","64","1.08","808","Cardio","29.7","2.7","3","1","30.07","3","2176.24","808","28"
"11","41","120.8","1.67","188","146","54","0.82","593","HIIT","20.5","3","2","1","43.31","15","2275.4","832","14"
"12","53","51.7","1.7","175","152","72","1.15","865","HIIT","23.6","3.5","3","2","17.89","22","1295.94","499","30"
"13","57","112.5","1.61","195","165","61","1.24","1013","Cardio","22.1","2.7","3","2","43.4","18","2044.57","1025","32"
"14","41","94.5","2","179","136","69","1.18","794","HIIT","27.6","3.7","3","1","23.62","12","2081.42","937","30"
"15","20","117.7","1.81","196","161","54","1.35","1195","Yoga","26.4","3.3","3","2","35.93","3","2420.27","501","35"
"16","39","42.5","1.75","181","131","52","1.13","740","Strength","26.2","2.1","2","1","13.88","23","1213.87","252","19"
"17","19","64","1.53","166","167","58","1.33","1111","HIIT","29.8","2.3","3","2","27.34","24","1431.12","715","34"
"18","41","43.8","1.77","182","165","58","1.19","884","Cardio","31.9","1.6","3","1","13.98","25","1223.43","383","31"
"19","47","66.8","1.75","199","146","56","1.13","742","Strength","32.8","2.5","3","2","21.81","11","1403.93","396","29"
"20","55","75.2","1.67","188","167","51","1.37","1030","HIIT","25.2","2.2","2","1","26.96","16","1422.18","865","23"
"21","19","89","1.77","175","127","72","1.5","1048","Strength","28.9","3.7","4","2","28.41","1","2022.26","701","51"
"22","38","71.9","1.77","197","142","72","1.12","875","Cardio","25.7","3.1","2","1","22.95","5","1685.3","592","19"
"23","50","71","1.68","187","161","70","1.17","848","Yoga","33.1","2.5","2","1","25.16","16","1408.09","262","20"
"24","29","120.9","1.78","197","168","65","0.78","721","Yoga","28.1","3.4","2","1","38.16","3","2397.65","297","13"
"25","39","64.3","1.69","190","148","58","1.25","925","HIIT","26.9","1.9","4","2","22.51","6","1396.87","675","43"
"26","42","63.7","1.71","173","169","62","1.42","1080","Yoga","26.1","1.8","3","2","21.78","11","1384.52","285","37"
"27","44","65.2","1.8","192","139","68","0.73","502","HIIT","27.2","2.7","2","1","20.12","12","1575.88","400","13"
"28","59","53.9","1.75","168","135","69","1.48","989","Strength","21.6","2.8","4","2","17.6","22","1315.34","419","51"
"29","45","84.9","1.86","186","136","66","1.64","1104","HIIT","14.2","3.5","5","3","24.54","12","1862.92","1170","70"
"30","33","78","1.68","183","135","55","1.29","871","HIIT","32.3","1.8","3","2","27.64","7","1546.43","845","33"
"31","32","108.2","1.8","172","138","53","1.27","964","HIIT","28.4","3.5","3","1","33.4","9","2220.07","1154","33"
"32","20","65.4","1.52","185","127","50","1.03","654","Yoga","28","2.2","4","2","28.31","24","1436.64","212","35"
"33","54","50.2","1.61","188","157","67","1.48","1046","HIIT","28.2","2.7","2","1","19.37","17","1176.75","624","25"
"34","24","58.9","1.51","187","157","68","1.04","816","Cardio","31.7","2.5","2","1","25.83","24","1356.12","450","18"
"35","38","81.4","1.71","187","148","58","1.52","1237","HIIT","10.2","3.5","5","3","27.84","8","1783.78","1039","65"
"36","26","127.6","1.73","167","160","62","1.32","1162","Strength","27.3","2.9","3","1","42.63","3","2480.44","884","34"
"37","56","59.3","1.56","182","155","57","1.26","879","Cardio","33.4","2.6","4","2","24.37","17","1236.75","549","43"
"38","35","96.9","1.71","188","145","72","1.34","1069","Strength","24.2","2.9","3","2","33.14","9","2008.47","682","34"
"39","21","62.6","1.81","164","150","62","1.3","1072","Strength","27.6","3.5","4","2","19.11","2","1676.42","427","45"
"40","42","45.5","1.6","166","163","64","1.31","1057","Strength","21.7","2.6","3","2","17.77","26","1227.33","313","34"
"41","31","48.8","1.51","195","131","60","1.48","969","Cardio","28.2","2","2","1","21.4","6","1232.41","531","25"
"42","26","44.3","1.6","186","136","61","1.08","734","Cardio","34.7","2","3","1","17.3","27","1240.34","352","28"
"43","43","113.2","1.83","161","134","63","1.45","962","Yoga","29.9","2.9","4","2","33.8","15","2239.01","517","50"
"44","19","60.5","1.59","184","128","53","1.14","730","Cardio","30.1","2.2","2","1","23.93","4","1417.35","507","20"
"45","37","124.2","1.76","168","158","50","1.5","1304","HIIT","29.3","2.8","2","1","40.1","9","2386.84","1565","26"
"46","45","52.4","1.85","186","161","73","1.2","956","Strength","25.2","2.5","3","1","15.31","26","1422.71","330","31"
"47","24","54.7","1.74","160","167","53","0.84","772","Yoga","22.9","3.6","3","1","18.07","20","1519.96","145","22"
"48","25","88.1","1.95","182","131","68","1.41","1016","Cardio","22.7","3","2","1","23.17","2","2062.52","913","24"
"49","52","59.7","1.71","169","151","58","1.23","836","Strength","34.3","2","3","1","20.42","17","1304.24","386","32"
"50","31","79.7","1.54","184","144","59","1.03","742","Cardio","26.7","2.3","4","2","33.61","10","1527.44","603","35"
"51","34","51","1.62","162","158","53","1.42","1122","Yoga","30.8","2.4","3","2","19.43","6","1273.85","228","37"
"52","53","84.2","1.76","165","137","69","1.67","1133","Cardio","12.8","3.5","5","3","27.18","28","1760.13","1034","72"
"53","57","122.1","1.89","165","134","58","1.13","750","Cardio","27.4","3.6","3","1","34.18","18","2307.56","1014","29"
